periodCode,accountCode,currency,dimensionKey,debitOriginal,creditOriginal,exchangeRate
2026-06,10020001,CNY,,12032.88,0.00,1
2026-06,10020002,CNY,,102239.01,0.00,1
2026-06,10020004,CNY,,10984.07,0.00,1
2026-06,10020005,CNY,,55369.42,0.00,1
2026-06,10020006,CNY,,0.00,25.00,1
2026-06,10120001,CNY,,806117.05,0.00,1
2026-06,11220001,CNY,,4548338.54,0.00,1
2026-06,11220006,CNY,,72524.00,0.00,1
2026-06,11220007,CNY,,10000.00,0.00,1
2026-06,11220008,CNY,,19500.00,0.00,1
2026-06,11220009,CNY,,1000.00,0.00,1
2026-06,11220010,CNY,,12400.00,0.00,1
2026-06,11220012,CNY,,5200.00,0.00,1
2026-06,11220013,CNY,,24600.00,0.00,1
2026-06,11220015,CNY,,60000.00,0.00,1
2026-06,11220016,CNY,,8080.00,0.00,1
2026-06,11220018,CNY,,10000.00,0.00,1
2026-06,11220019,CNY,,2309353.65,0.00,1
2026-06,11220020,CNY,,627001.70,0.00,1
2026-06,11220021,CNY,,68000.00,0.00,1
2026-06,11220023,CNY,,0.00,14976.00,1
2026-06,11220024,CNY,,396120.00,0.00,1
2026-06,11220025,CNY,,9050.00,0.00,1
2026-06,11220028,CNY,,39200.00,0.00,1
2026-06,11220033,CNY,,278530.00,0.00,1
2026-06,11220037,CNY,,0.00,16200.00,1
2026-06,11220040,CNY,,0.00,57500.00,1
2026-06,11220041,CNY,,54900.00,0.00,1
2026-06,11220048,CNY,,0.00,28180.30,1
2026-06,11220049,CNY,,0.00,1242720.00,1
2026-06,11220059,CNY,,50000.00,0.00,1
2026-06,11220061,CNY,,617500.00,0.00,1
2026-06,11220062,CNY,,312200.00,0.00,1
2026-06,11220063,CNY,,0.00,30000.00,1
2026-06,11220064,CNY,,0.00,250677.00,1
2026-06,11220065,CNY,,0.00,10000.00,1
2026-06,11220066,CNY,,0.00,2478762.65,1
2026-06,11220067,CNY,,0.00,93660.00,1
2026-06,11220068,CNY,,0.00,85536.00,1
2026-06,11220069,CNY,,1597199.40,0.00,1
2026-06,11220077,CNY,,0.00,85536.00,1
2026-06,11220078,CNY,,273000.00,0.00,1
2026-06,11220080,CNY,,0.00,16704.04,1
2026-06,11220082,CNY,,0.00,196216.25,1
2026-06,11220083,CNY,,0.00,250000.00,1
2026-06,11220084,CNY,,0.00,10000.00,1
2026-06,11220086,CNY,,342000.00,0.00,1
2026-06,11220088,CNY,,1090160.10,0.00,1
2026-06,11220091,CNY,,0.00,243300.00,1
2026-06,11220093,CNY,,117600.00,0.00,1
2026-06,11220097,CNY,,0.00,140000.00,1
2026-06,11220099,CNY,,0.00,528672.82,1
2026-06,11220100,CNY,,0.00,27853.00,1
2026-06,11220101,CNY,,0.00,0.18,1
